Epoch 1: Loss=0.5192, Test Accuracy=85.91%
Epoch 482: Loss=0.0766, Test Accuracy=89.55%
Epoch 483: Loss=0.0759, Test Accuracy=88.99%
Epoch 484: Loss=0.0741, Test Accuracy=89.45%
Epoch 485: Loss=0.0738, Test Accuracy=89.06%
Epoch 486: Loss=0.0730, Test Accuracy=89.84%
Epoch 487: Loss=0.0806, Test Accuracy=89.49%
Epoch 488: Loss=0.0787, Test Accuracy=89.13%
Epoch 489: Loss=0.0753, Test Accuracy=90.20%
Epoch 490: Loss=0.0719, Test Accuracy=89.37%
Epoch 491: Loss=0.0706, Test Accuracy=89.37%
Epoch 492: Loss=0.0736, Test Accuracy=89.57%
Epoch 493: Loss=0.0769, Test Accuracy=89.76%
Epoch 494: Loss=0.0806, Test Accuracy=89.51%
Epoch 495: Loss=0.0756, Test Accuracy=89.67%
Epoch 496: Loss=0.0777, Test Accuracy=89.80%
Epoch 497: Loss=0.0720, Test Accuracy=89.35%
Epoch 498: Loss=0.0781, Test Accuracy=89.95%
Epoch 499: Loss=0.0756, Test Accuracy=89.51%
